LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(pixel/min),(pixel),(min),(pixel),(pixel),(pixel),
ID8783 → ID9014,216,8783,9014,4.162945000661191,0.8116701194202205,2.040329630393381,2.040329630393381,27.5,188.55689325251151,403.3555462154435,0.0,
ID9014 → ID9327,216,9014,9327,3.385095137066858,2.6356954894983216,1.839862803870674,1.839862803870674,28.5,188.60106594047167,403.84870319501215,0.0,
ID11959 → ID12255,216,11959,12255,1.1644607487836371,1.4920813550637944,1.0791018250302598,1.0791018250302598,39.5,181.76299761166263,402.57398711189524,0.0,
ID19246 → ID19532,216,19246,19532,16.018951911326184,0.26417828063052073,4.002368287817375,4.002368287817375,66.5,187.65420459926645,406.99026641784565,0.0,
ID2415 → ID2696,216,2415,2696,14.98166498819906,1.0370712412421135,3.870615582591361,3.870615582591361,1.5,188.6747528801024,428.42594847816815,0.0,
ID18202 → ID18447,216,18202,18447,2.4354721694795067,0.9735745322423043,1.5605999389592153,1.5605999389592153,62.5,177.3687794397513,407.66036322302307,0.0,
ID7025 → ID7272,216,7025,7272,8.601632077426505,2.2905406882535386,2.9328539134137768,2.9328539134137768,20.5,183.76262212645582,405.07123111948624,0.0,
ID23497 → ID23765,217,23497,23765,0.44150617823594185,2.816849344355327,0.6644593127016446,0.6644593127016446,81.5,363.65529488028244,460.7211257309942,0.0,
ID6362 → ID6655,217,6362,6655,1.7761785737051454,2.814476881514493,1.332733496879682,1.332733496879682,18.5,362.2257779171691,471.99420350812363,0.0,
ID22075 → ID22341,217,22075,22341,8.600369929977619,1.0671655632995287,2.9326387315824665,2.9326387315824665,76.5,367.54252873563223,461.2563218390805,0.0,
